Judul,Jenis Jurnal
Diabetic Retinopathy Grade Classification based on Fractal Analysis and Random Forest,penelitian
Diagnosis of heart disease using K-nearest neighbor method based on forward selection,penelitian
Diagnosis of heart disease using K-nearest neighbor method based on forward selection,penelitian
Different approach and method in teaching English during covid-19 pandemic,penelitian
Digital Fashion Graphic Berdasarkan Inovasi Ornamen Kala,penelitian
"Digitalisasi Ornamen Kala, Mentari, dan Merak sebagai Inovasi Motif Batik Kontemporer Khas Bali",penelitian
Dimensional Reduction with PCA for Feature Selection in Pedestrian Detection,penelitian
Document preprocessing with TF-IDF to improve the polarity classification performance of unstructured sentiment analysis,penelitian
Document preprocessing with TF-IDF to improve the polarity classification performance of unstructured sentiment analysis,penelitian
Educational Data Mining to Improve Decision Support on the Ratio of students and Study Groups in Elementary Schools in,penelitian
Edukasi komunikasi keluarga terkait penangan sibling rivalry melalui new media tiktok,penelitian
Edukasi Seks Pada Anak Usia Dini melalui Media Digital dengan Metode StoryTelling,penelitian
Edukasi Seks Pada Anak Usia Dini melalui Media Digital dengan Metode StoryTelling,penelitian
Efektivitas Demand Creation & Product Placement Kopiko Dalam Meningkatkan Brand Awareness Pada Penikmat Drama Korea Vincenzo Di Semarang,penelitian
Efektivitas Sign System dan Intensitas Informasi Petunjuk Arah sebagai Media Komunikasi Visual Kota Lama Semarang,penelitian
Efektivitas Sign System dan Intensitas Informasi Petunjuk Arah sebagai Media Komunikasi Visual Kota Lama Semarang,penelitian
Efektivitas Sign System dan Intensitas Informasi Petunjuk Arah sebagai Media Komunikasi Visual Kota Lama Semarang,penelitian
Effect of feature selection on the accuracy of music genre classification using SVM classifier,penelitian
"Effectiveness of Branding, Opinion Leader and Government in the Establishment of Thematic Village in Semarang City, Indonesia",penelitian
"Efficiency Perubahan Desain Layout pada Website Responsif Surat Kabar di Indonesia terhadap Pengguna (Studi Kasus Website Kompas, JPNN, dan Republika)",penelitian
Efisiensi Daya Perangkat Wireless Sensor Network Pada Penerangan Jalan Umum (PJU) Berbasis Algoritma Leach,penelitian
Eggs Classification based on Egg Shell Image using K-Nearest Neighbors Classifier,penelitian
Eksistensi Pameran Virtual Tugas Akhir Mahasiswa dalam Sudut Pandang Difusi-Inovasi,penelitian
Emotional branding analysis for the Korean Drama-based tourism locations,penelitian
Employee Attrition and Performance Prediction using Univariate ROC feature selection and Random Forest,penelitian
Employee Attrition and Performance Prediction using Univariate ROC feature selection and Random Forest,penelitian
ENERGY EFFICIENCY IN CLOUD DATA CENTER THROUGH UNSUPERVISED RULE-BASED VM SELECTION METHODS,penelitian
ENERGY EFFICIENCY IN CLOUD DATA CENTER THROUGH UNSUPERVISED RULE-BASED VM SELECTION METHODS,penelitian
Enhanced Indonesian ethnic speaker recognition using data augmentation deep neural network,penelitian
Enhancing Least Significant Bit Steganography Image Fidelity Using Brotli Compression,penelitian
Enhancing Machine Learning Accuracy in Detecting Preventable Diseases using Backward Elimination Method,penelitian
Enhancing Machine Learning Accuracy in Detecting Preventable Diseases using Backward Elimination Method,penelitian
E-Report System to Help Monitor Student Academic Progress Using Forward Chaining for Grade Promotion According to Student Development Level,penelitian
Etika Komunikasi Pada Anggota Official Account Draft Sms Di Media Sosial,penelitian
Evaluasi Kinerja Karyawan Level Pelaksana Satuan Pengamanan Pada Perguruan Tinggi Menggunakan Metode Simple Additive Weighting,penelitian
Evaluasi Manajemen Keamanan Informasi Menggunakan Indeks KAMI Berdasarkan ISO/IEC 27001:2013 pada Politeknik Ilmu Pelayaran Semarang,penelitian
Evaluasi Manajemen Keamanan Informasi Menggunakan Indeks Keamanan Informasi (KAMI) Berdasarkan ISO/IEC 27001: 2013 pada Politeknik Ilmu Pelayaran Semarang,penelitian
Evaluasi Manajemen Keamanan Informasi Menggunakan Indeks Keamanan Informasi (KAMI) Berdasarkan ISOIEC 27001 2013 pada Politeknik Ilmu Pelayaran Semarang,penelitian
Evaluasi Pengelolaan Risiko Teknologi Informasi Menggunakan Framework COBIT 5 Berdasarkan Domain APO12 (Manage Risk) pada Kantor Pusat BPR Agung Sejahtera,penelitian
Evaluasi Performa Oversampling dan Augmentasi pada Klasifikasi Penyakit Kulit Menerapkan Convolutional Neural Network,penelitian
Evaluation of Feature Extraction for Indonesian News Classification,penelitian
Evaluation of Feature Extraction for Indonesian News Classification,penelitian
Evaluation of Feature Extraction TF-IDF in Indonesian Hoax News Classification,penelitian
Evaluation of Feature Extraction TF-IDF in Indonesian Hoax News Classification,penelitian
Evaluation Of Feature Selection for Improvement Backpropagation Neural Network in Divorce Predictions,penelitian
Evaluation Of Feature Selection for Improvement Backpropagation Neural Network in Divorce Predictions,penelitian
Evaluation of Feature Selections on Movie Reviews Sentiment,penelitian
Evaluation of Feature Selections on Movie Reviews Sentiment,penelitian
EVALUATION OF HISTOGRAM OF ORIENTED GRADIENT (HOG) AND LEARNING VECTOR ALGORITHM QUANTIZATION (LVQ) IN CLASSIFICATION CARICA VASCONCELLEA CUNDINAMARCENCIS,penelitian
EVALUATION OF HISTOGRAM OF ORIENTED GRADIENT (HOG) AND LEARNING VECTOR ALGORITHM QUANTIZATION (LVQ) IN CLASSIFICATION CARICA VASCONCELLEA CUNDINAMARCENCIS,penelitian
Evaluation of Usability and User Experience of Oncodoc‘s M-Health Application for Early Detection of Cancer,penelitian
Expert System for Diagnosing Potential Diabetes Attacks Using the Fuzzy Tsukamoto,penelitian
Expert System for Diagnosing Potential Diabetes Attacks Using the Fuzzy Tsukamoto,penelitian
Extrovert and Introvert Classification based on Myers-Briggs Type Indicator(MBTI) using Support Vector Machine (SVM),penelitian
Extrovert and Introvert Classification based on Myers-Briggs Type Indicator(MBTI) using Support Vector Machine (SVM),penelitian
Exudates detection for multiclass diabetic retinopathy grade detection using ensemble,penelitian
Exudates Detection for Multiclass Diabetic Retinopathy Grade Detection using Ensemble,penelitian
Exudates detection for multiclass diabetic retinopathy grade detection using ensemble,penelitian
Exudates detection for multiclass diabetic retinopathy grade detection using ensemble,penelitian
Faktor Perilaku Kenakalan Remaja Pada Siswa Sma Negeri 1 Grobogan,penelitian
Family Communication during the 2019 Corona Virus Disease (Covid-19) Pandemic,penelitian
Fast recognition using bar-based data mapping for gamelan music genre classification,penelitian
Feature Selection on Gammatone Cepstral Coefficients for Bird Voice Classification Using Particle Swarm Optimization,penelitian
Feature Selection on Gammatone Cepstral Coefficients for Bird Voice Classification Using Particle Swarm Optimization,penelitian
File Cryptography Optimization Based on Vigenere Cipher and Advanced Encryption Standard (AES),penelitian
File Cryptography Optimization Based on Vigenere Cipher and Advanced Encryption Standard (AES),penelitian
Financial Accounting Information System With Method Commonsize To Know Financial Performance,penelitian
Forensic Analysis of Podman Container Towards Metasploit Backdoor Using Checkpointctl,penelitian
"Framing analysis of village funding corruption in media suaramerdeka. com in central java, Indonesia, 2019",penelitian
Fraud Patterns Classification A study of Fraud in business Process of Indonesian Online Sales Transaction,penelitian
Fungsi dan Makna Desain Karakter Wayang Potehi Lakon Shi Jhin Kwie,penelitian
FUNGSI KELOMPOK LANGENSARI DALAM UPAYA PELESTARIAN TARI LENGGER WONOSOBO,penelitian
Fusion Of Bagging Based Ensemble Framework For Epileptic Seizure Classification,penelitian
Fuzzy Multi-Attribute Decision Making untuk Klasifikasi Potensi Kewirausahaan Berdasarkan Theory of Planned Behavior,penelitian
Fuzzy Smart Reward for Serious Game Activity Design,penelitian
Fuzzy Smart Reward for Serious Game Activity Design,penelitian
Game Method Based on Genre Game as Higher Educational Learning: Systematic Literature Review with VOSviewer ,penelitian
Gamelan Composer: a Rule-Based Interactive Melody Generator for Gamelan Music,penelitian
Gamelan composer: a rule-based interactive melody generator for Gamelan music,penelitian
Gamelan Land: A Multiplayer Virtual Reality Game based on a Social Presence Approach,penelitian
Gamelan Land: A Multiplayer Virtual Reality Game based on a Social Presence Approach,penelitian
Gamelan Melody Generation Using LSTM Networks Controlled by Composition Meter Rules and Special Notes,penelitian
GLCM Based Locally Feature Extraction On Natural Image,penelitian
GLCM Based Locally Feature Extraction On Natural Image,penelitian
GLCM Based Locally Feature Extraction On Natural Image ,penelitian
Gold Price Prediction Using Support Vector Regression,penelitian
Gradually Generative Adversarial Networks Method for Imbalanced Datasets,penelitian
GridSearch and Data Splitting for Effectiveness Heart Disease Classification,penelitian
Guidelines of Influencer Intelligence Positive & Negative Impact of Influencer to Community,penelitian
Guidelines Of Mood – Thinking – Logic Profiling & Anti-Hoax Framework: Detecting Someone's Motives On Social Media,penelitian
Hal-Hal yang Absen dalam Pencatatan Mengenai Film Nasional,penelitian
HANDLING COMPLAIN: MEREDAM ISU DI RUANG VIRTUAL,penelitian
Heart Disease Classification Using Deep Neural Network with SMOTE Technique for Balancing Data,penelitian
Historical Building 3D Reconstruction for a Virtual Reality-based Documentation,penelitian
Historical Building 3D Reconstruction for a Virtual Reality-based Documentation,penelitian
Hoax classification and sentiment analysis of Indonesian news using Naive Bayes optimization,penelitian
Hoax classification and sentiment analysis of Indonesian news using Naive Bayes optimization,penelitian
How does politeness emerge in preoperational stage,penelitian
Human and Computation-based Musical Representation for Gamelan Music,penelitian
Human Resource Development Through Knowledge Management System,penelitian
HYBRID MODEL MACHINE LEARNING FOR DETECTING HOAXES,penelitian
"Hybrid model of ARIMA-linear trend model for tourist arrivals prediction model in Surakarta City, Indonesia",penelitian
"Hybrid Model, Neural Networks, Support Vector Machine, K-Nearest Neighbor, and ARIMA Models for Forecasting Tourist Arrivals",penelitian
Hybrid Top-K Feature Selection to Improve High-Dimensional Data Classification Using Naïve Bayes Algorithm,penelitian
HYBRIDIZATION OF THE NAIVE BAYES CLASSIFICATION METHOD IN THE FRESHWATER FISH SEED SELLER CLASSIFICATION MODEL,penelitian
HYBRIDIZATION OF THE NAIVE BAYES CLASSIFICATION METHOD IN THE FRESHWATER FISH SEED SELLER CLASSIFICATION MODEL,penelitian
Identifikasi Kualitas Fisik Tabung LPG 3 kg menggunakan Blob Detection dan Fitur Warna RGB to HSV ,penelitian
IDENTITAS BANGUNAN KOTA LAMA SEBAGAI BAGIAN KOMUNIKASI PERSUASIF DALAM PARIWISATA,penelitian
Identitas Gaya Fesyen Islami pada Sivitas Akademika di Perguruan Tinggi Kota Semarang (Identity of Islamic Fashion among Academic Staffs at Higher Education in Semarang City),penelitian
Identitas Ilustrasi Kharisma Jati dalam Komik Humor Satir God You Must Be Joking (GYMBJ),penelitian
IDENTITAS VIRTUAL DALAM INSTITUSI PENDIDIKAN MELALUI AKUN@ udinus_smg,penelitian
Iklim Komunikasi Organisasi Pada Kantor Balai Sertifikasi dan Perbenihan Tanaman Hutan,penelitian
IMAGE CLASSIFICATION OF LOCAL ROBUSTA AND ARABICA COFFEE SEEDS IN MALANG REGENCY USING GRAY LEVEL CO-OCCURRENCE MATRIX AND K-NEAREST METHODS,penelitian
Image Encryption using Double Layer Chaos with Dynamic Iteration and Rotation Pattern,penelitian
Image feature extraction of numbers and letters using matrix segmentation,penelitian
"Image Steganography using Inverted LSB based on 2nd, 3rd and 4th LSB pattern",penelitian
Immersive and challenging experiences through a virtual reality musical instruments game: an approach to gamelan preservation,penelitian
Immersive and challenging experiences through a virtual reality musical instruments game: an approach to gamelan preservation,penelitian
Impactof HydrogenCoverageTrend on MethylFormateAdsorptionon MoS2Surface:A First PrinciplesStudy,penelitian
Imperceptible and secure image watermarking using DCT and random spread technique,penelitian
Imperceptible Improvement using Edge Area Selection for Robust Video Watermarking Using Tchebichef - Singular Value Decomposition,penelitian
Implementasi Algoritma Apriori Untuk Menentukan Cross Selling Produk Pada Apotek RSUD Tugurejo Semarang,penelitian
Implementasi Algoritma Convolutional Neural Network (CNN) Untuk Klasifikasi Jenis Tanah Berbasis Android,penelitian
Implementasi Algoritma K-Means Dalam Pengklasteran untuk Rekomendasi Penerima Beasiswa PPA di UDINUS,penelitian
Implementasi Algoritma K-Means Dalam Pengklasteran untuk Rekomendasi Penerima Beasiswa PPA di UDINUS,penelitian
Implementasi Algoritma K-Neares Neighbor dalam Pengenalan Aksara Jawa Berbasis Android untuk Anak Sekolah Dasar,penelitian
Implementasi Algoritma K-Neares Neighbor dalam Pengenalan Aksara Jawa Berbasis Android untuk Anak Sekolah Dasar,penelitian
Implementasi Algoritma K-Nearest Neighbor Berbasis Forward Selection Untuk Prediksi Mahasiswa Non Aktif Universitas Dian Nuswantoro Semarang,penelitian
Implementasi Bahasa Rupa dan Archetype pada Kerangka Desain Karakter dengan Gestur Budaya Jawa: Studi Kasus Serial Adit Sopo Jarwo,penelitian
Implementasi Bahasa Rupa dan Archetype pada Kerangka Desain Karakter dengan Gestur Budaya Jawa: Studi Kasus Serial Adit Sopo Jarwo,penelitian
IMPLEMENTASI BUSINESS MODEL CANVAS (BMC) TERHADAP PENGEMBANGAN USAHA PERSEORANGAN PENJUALAN SUSU BUBUK KAMBING ETAWA DI BANYUWANGI,penelitian
Implementasi Enterprise Architecture Zachman Framework pada Sistem Informasi Akademik Universitas Dian Nuswantoro Semarang,penelitian
Implementasi Forward Chaining dan Metode Simpleks untuk Menentukan Ransum Unggas yang Ekonomis,penelitian
IMPLEMENTASI FOTOGRAFI SMARTPHONE DAN APLIKASI CANVA DALAM DESAIN IKLAN PRODUK UMKM LUMINTU ,penelitian
Implementasi K-Nearest Neighbor pada Decission Support System Pemilihan Satuan Pengamanan Event Perguruan Tinggi,penelitian
Implementasi Komputer Grafis Pada Perancangan Motif Batik Papua,penelitian
Implementasi Komputer Grafis Pada Perancangan Motif Batik Papua,penelitian
Implementasi Metode Convolutional Neural Network Untuk Deteksi Kematangan Buah Pisang Menggunakan Inception V3,penelitian
Implementasi Metode Multiple Linear Regression untuk Memprediksi Intensitas Cahaya untuk Pembungaan Buah Tomat Pada Media Kultur Jaringan,penelitian
Implementasi Model Konseptual Pemetaan Potensi Konflik di Ditintelkam Polda Jateng dengan Agile,penelitian
Implementasi pendidikan karakter melalui kegiatan keagamaan dan pembiasaan di MAN 5 Kediri,penelitian
Implementasi Pengolahan Citra dan Klasifikasi K-Nearest Neighbor untuk Mendeteksi Kualitas Telur Ayam,penelitian
Implementasi Pengolahan Citra dan Klasifikasi K-Nearest Neighbor untuk Mendeteksi Kualitas Telur Ayam,penelitian
Implementasi Perangkat Peremajaan dan Perawatan Alat Berat Container Crane,penelitian
Implementasi Profile Matching Pada Prioritas Approval Pengajuan Layanan Premium Pada PT. Pln (Persero) Ulp Semarang Barat,penelitian
Implementasi RFID Pada Sistem Absensi dan Penggajian Karyawan (Studi Kasus di PT. Kartika Utama Semarang),penelitian
Implementasi Teknologi Augmented Reality Katalog Perumahan Sebagai Media Promosi Berbasis Android ,penelitian
"Implementasi Web Desa Wisata Tempellemahbang, Jepon, Blora untuk Promosi dan Peningkatan Pengunjung",penelitian
Implementasi Website E-Commerce Menggunakan Google Sites Untuk Meningkatkan Penjualan Nelayan Desa Bagan Deli ,penelitian
IMPLEMENTASI WEBSITE SEBAGAI MEDIA DIGITAL MARKETING PRODUK TENUN “KAMENZ” TROSO JEPARA,penelitian
Implementation Chatbot on Discord for Information Assistance and Conflict Prevention,penelitian
Implementation of Adam Optimizer using Recurrent Neural Network (RNN) Architecture for Diabetes Classification,penelitian
Implementation of Convolutional Neural Network Method for Detecting Vegetables as Recommendation for Vegetarian Food Recipes,penelitian
Implementation Of ETL E-Commerce For Customer Clustering Using RFM And K-Means Clustering,penelitian
Implementation Of Extreme Gradient Boosting Algorithm For Predicting The Red Onion Prices,penelitian
Implementation Of Extreme Gradient Boosting Algorithm For Predicting The Red Onion Prices,penelitian
Implementation Of Extreme Gradient Boosting Algorithm For Predicting The Red Onion Prices,penelitian
Implementation of Feature Selection Using Gain Ratio Towards Improved Accuracy of Support Vector Machine (SVM) on Youtube Comment Classification,penelitian
IMPLEMENTATION OF LSTM (LONG SHORT TERM MEMORY) ALGORITHM TO PREDICT WEATHER IN CENTRAL JAVA,penelitian
IMPLEMENTATION OF LSTM (LONG SHORT TERM MEMORY) ALGORITHM TO PREDICT WEATHER IN CENTRAL JAVA,penelitian
IMPLEMENTATION OF LSTM (LONG SHORT TERM MEMORY) ALGORITHM TO PREDICT WEATHER IN CENTRAL JAVA,penelitian
Implementation Of Naive Bayes Algorithm With Particle Swarm Optimization In Classification Of Dress Recommendation,penelitian
Implementation Of Naive Bayes Algorithm With Particle Swarm Optimization In Classification Of Dress Recommendation,penelitian
Implementation of Polynomial Functions to Improve the Accuracy of Machine Learning Models in Predicting the Corrosion Inhibition Efficiency of Pyridine-Quinoline Compounds as Corrosion Inhibitors,penelitian
Implementation of Polynomial Functions to Improve the Accuracy of Machine Learning Models in Predicting the Corrosion Inhibition Efficiency of Pyridine-Quinoline Compounds as Corrosion Inhibitors,penelitian
Implementation of Polynomial Functions to Improve the Accuracy of Machine Learning Models in Predicting the Corrosion Inhibition Efficiency of Pyridine-Quinoline Compounds as Corrosion Inhibitors,penelitian
Implementation of RFM method and K-Means algorithm for Customer Segmentation in E-Commerce with Streamlit,penelitian
Implementation of RFM method and K-Means algorithm for Customer Segmentation in E-Commerce with Streamlit,penelitian
Implementation of RFM method and K-Means algorithm for Customer Segmentation in E-Commerce with Streamlit,penelitian
Implementation of RFM method and K-Means algorithm for Customer Segmentation in E-Commerce with Streamlit,penelitian
Implementing intellectual curatorial strategy on Cinema Paradesa film screening program,penelitian
Improved Color Image Encryption using Hybrid Modulus Substitution Cipher and Chaotic Method,penelitian
"Improved Color Image Encryption using Modified Modulus Substitution Cipher, Dual Random Key and Chaos Method",penelitian
Improvement Quality of Software Requirements Using Requirement Negotiation System for Supporting Decision,penelitian
Improvement Support Vector Machine Using Genetic Algorithm in Farmers Term of Trade Prediction at Central Java Indonesia,penelitian
Improvement with Chi Square Selection Feature using Supervised Machine Learning Approach on Covid-19 Data,penelitian
Improving C4. 5 algorithm accuracy with adaptive boosting method for predicting students in obtaining education funding,penelitian
Improving C4. 5 algorithm accuracy with adaptive boosting method for predicting students in obtaining education funding,penelitian
Improving Data Embedding Capacity in LSB Steganography Utilizing LSB2 and Zlib Compression,penelitian
Improving Multi-label Classification Performance on Imbalanced Datasets Through SMOTE Technique and Data Augmentation Using IndoBERT Model,penelitian
Improving Multi-label Classification Performance on Imbalanced Datasets Through SMOTE Technique and Data Augmentation Using IndoBERT Model,penelitian
Improving Named Entity Recognition in Bahasa Indonesia with Transformer-Word2Vec-CNN-Attention Model.,penelitian
IMPROVING PERFORMANCE OF STUDENTS’GRADE CLASSIFICATION MODEL USES NAÏVE BAYES GAUSSIAN TUNING MODEL AND FEATURE SELECTION,penelitian
Improving random forest method to detect hatespeech and offensive word,penelitian
Improving Random Forest Method to Detect Hatespeech and Offensive Word,penelitian
Improving the Accuracy of C4. 5 Algorithm with Chi-Square Method on Pure Tea Classification Using Electronic Nose,penelitian
Incorporating AI Tool Along with Traditional Method for Speaking Assessment,penelitian
Incorporating AI Tool Along with Traditional Method for Speaking Assessment,penelitian
Incorporating AI Tool Along with Traditional Method for Speaking Assessment,penelitian
Increasing Accuracy of Support Vector Machine (SVM) By Applying N-Gram and Chi-Square Feature Selection for Text Classification,penelitian
INDONESIAN CONSUMER ACCEPTANCE OF CHANGES IN THE CONSTRUCTION OF ADVERTISING CHILDREN’S PRODUCTS ON YOUTUBE,penelitian
Indonesian national assessment support: Can RE-STEM Android app improve students’ scientific literacy skills?,penelitian
INFORMATION SYSTEM FOR INVENTORY OF CONSUMABLE GOODS AT SMP N 28 SEMARANG,penelitian
Information System Supply Chain Management with FIFO Pertetual Method,penelitian
Information technology management governance analysis using cobit 5 (Case study at Universitas Dian Nuswantoro-PSDKU Kediri),penelitian
Inovasi ornamen masjid Agung Demak untuk motif batik kontemporer khas Demak,penelitian
Instagram as A Digital Media to Build Self-Acceptance,penelitian
Integrating Grey Wolf Optimizer for Feature Selection in Birdsong Classification Using K-Nearest Neighbours Algorithm,penelitian
Integrating Grey Wolf Optimizer for Feature Selection in Birdsong Classification Using K-Nearest Neighbours Algorithm.,penelitian
Integrating Grey Wolf Optimizer for Feature Selection in Birdsong Classification Using K-Nearest Neighbours Algorithm.,penelitian
Inverted LSB image steganography using adaptive pattern to improve imperceptibility,penelitian
Investigating the Impact of Synthetic Data Distribution on the Performance of Regression Models to Overcome Small Dataset Problems,penelitian
Investigating the Impact of Synthetic Data Distribution on the Performance of Regression Models to Overcome Small Dataset Problems,penelitian
Investigation of Best QSPR-Based Machine Learning Model to Predict Corrosion Inhibition Performance of Pyridine-Quinoline Compounds,penelitian
Investigation of QSPR-Based Machine Learning Models in Pyrimidine Corrosion Inhibitors,penelitian
Isu Pencemaran Laut Dalam Iklan Marjan Baruna Sang Penjaga Samudera 2023,penelitian
ITEM DINAMIS BERBASIS FUZZY DALAM AKTIVITAS DESIGN PADA GAME BERBASIS APPRECIATIVE LEARNING,penelitian
Javanese Gender Speech Recognition Using Deep Learning And Singular Value Decomposition,penelitian
"Job Stress, Compensation, Job Dissatisfaction and Turnover Intention  ",penelitian
Jurnal Aplikasi Hybrid Filtering dan naive bayes Untuk Sistem Rekomendasi Pembelian Laptop,penelitian
Jurnal Artificial Intelligence Berbasis QSPR Dalam Kajian Inhibitor Korosi,penelitian
Jurnal Balutan Identitas Maskulin pada Pengguna Tato dari Perspektif Fenomenologi Levinas (2020),penelitian
Jurnal Citra Preman Sopan dalam Sinetron Berjudul Preman Pensiun 4 di RCTI (2023 n1),penelitian
Jurnal Classification of bird based on face types using gray level co-occurrence matrix (GLCM) feature extraction based on the k-nearest neighbor (K-NN),penelitian
"Jurnal College Student's Perception toward"" Peduli Lindungi""",penelitian
Jurnal Continous Formative Assessment pada Pendekatan Hybrid Learning: Sebuah Study Evaluasi Persepsi,penelitian
Jurnal Decision Tree Simplification Through Feature Selection Approach In Selecting Fish Feed Sellers,penelitian
Jurnal DEVELOPING & DESIGNING SMART CITY PROFILING FRAMEWORK,penelitian
Jurnal Developing The 7 Stages of Startup (The Maturity Level of Startup): The Concepts of Startup Development Methodology,penelitian
Jurnal Development of Fishery Marketplace Applications Using Prototype Methods,penelitian
Jurnal EFFICIENCY PERUBAHAN DESAIN LAYOUT PADA WEBSITE RESPONSIF SURAT KABAR DI INDONESIA TERHADAP PENGGUNA,penelitian
Jurnal EVALUASI CORPORATE SOCIAL RESPONSIBILITY KAMPUNG BERSERI ASTRA DI DESA MENARI,penelitian
Jurnal Handling Complain Meredam Isu Di Ruang Virtual,penelitian
Jurnal HYBRIDIZATION OF THE NAIVE BAYES CLASSIFICATION METHOD IN THE FRESHWATER FISH SEED SELLER CLASSIFICATION MODEL,penelitian
Jurnal Identitas Budaya Jawa Pada Mural di Kampung Batik Kota Semarang (2023),penelitian
Jurnal Identitas_Gaya_Fesyen_Islami_Pada_Sivita(2021 n1),penelitian
Jurnal Implementasi K-Nearest Neighbor pada Decission Support System Pemilihan Satuan Pengamanan Event Perguruan Tinggi,penelitian
Jurnal Indigenous Experience as a Strategy to Develop Rural Tourism Identity,penelitian
Jurnal KAJIAN USABILITY APLIKASI CANVA (STUDI KASUS PENGGUNA MAHASISWA DESAIN),penelitian
Jurnal Kolaborasi Teori Nielsen dan System Usability Scale (SUS) Usability Game Lokapala,penelitian
Jurnal Kontestasi narasi cbt yang berkelanjutan pada kompleksitas ekosistem desa wisata,penelitian
Jurnal Learning Vector Quantization for Robusta and Arabica Coffee Classification,penelitian
Jurnal Menjaga Eksistensi Dharma Boutique Roastery Eksplorasi Strategi Komunikasi Pemasaran Pabrik Kopi Tertua di Semarang (2023 n1),penelitian
Jurnal Metode K-Nearest Neighbor dan Ekstraksi Fitur GLCM untuk Mengklasifikasikan Biji Kopi Robusta dan Arabika Lokal,penelitian
Jurnal Metode Simple Additive Weighting untuk Penentu Peringkat Variabel Kepuasan Konsumen pada Layanan Jasa,penelitian
Jurnal Pattern Recognition on Vehicle Number Plates Using a Fast Match Algorithm,penelitian
Jurnal Pembuatan Video Profil dan Penguatan Promosi PMDK Drumblek Ungaran Kabupaten Semarang (2022),penelitian
Jurnal Penentuan Strategi Mitigasi Risiko Kritis Aset IS/IT Perkara Berdasarkan ISO/IEC 27002_2013,penelitian
Jurnal Pengembangan Aplikasi E-Marketplace UMKM Sektor Perikanan Menggunakan Metode Rapid Application Development,penelitian
Jurnal Pengenalan Media Pembelajaran Quis Berbasis Power Point Pada KB. Tunas Bhakti Kendal,penelitian
Jurnal PERANCANGAN DESAIN USER INTERFACE FITUR CUSTOMER RELATIONSHIP MANAGEMENT,penelitian
Jurnal PERANCANGAN IKLAN LAYANAN MASYARAKAT PENTINGNYA DETEKSI DINI PENYAKIT ALZHEIMER USIA 25-45 TAHUN,penelitian
"Jurnal PERANCANGAN INFOGRAFIS INSTRUKSIONAL KAMPANYE R3 (REDUCE, REUSE, RECYCLE)ECOBRICK",penelitian
Jurnal PERANCANGAN INFOGRAFIS PADA HALTE BUS ANGKUTAN CEPAT (BUS RAPID TRANSIT-BRT) TRANS-SEMARANG KORIDOR 8,penelitian
Jurnal Perancangan Ulang Corporate Identity PT. Thomas Adi Jaya,penelitian
Jurnal PERFORMANCE OF K-MEANS CLUSTERING AND KNN CLASSIFIER IN FISH FEED SELLER DETERMINATION MODELS,penelitian
Jurnal Persepsi Mahasiswa Terhadap Formatif Evaluation Model (FEM) Sebagai Model Evaluasi Pembelajaran Berbasis Learning Management System (LMS),penelitian
Jurnal Perspektif Komunikasi Kreatif Di Era Digital Oleh Stakeholder Ilmu Komunikasi Udinus,penelitian
"Jurnal Producing Radio Programs, Mainstreaming Gender Equity A Case Study of Radio Sonora Semarang (2022)",penelitian
Jurnal Profile Matching Untuk Sistem Pendukung Keputusan Penilaian Kinerja Driver,penelitian
Jurnal Rancang Bangun Sistem Pengelolaan Aset Ilmiah Digital Pada Perpustakaan Perguruan Tinggi,penelitian
Jurnal REDESAIN WEBSITE VISIT JAWA TENGAH,penelitian
Jurnal Representasi Citra Perempuan Dalam Film Televisi Crazy Not Rich Mentog di Warteg (2023 n1),penelitian
Jurnal REPRESENTASI MAKNA VISUAL PADA POSTER FILM KARYA QUENTIN TARANTINO,penelitian
Jurnal REPRESENTASI MAKNA VISUAL POSTER ILUSTRASI FILM THE FRENCH DISPATCH,penelitian
Jurnal Seminar dan Workshop Broadcasting untuk Meningkatkan Softskill Siswa SMA Nasima Semarang (2022),penelitian
Jurnal SISTEM MANAJEMEN PENEGAKAN DIAGNOSA PENYAKIT TYPUS DENGAN METODE NAIVE BAYES,penelitian
Jurnal Strategi Pemasaran Tato oleh Seniman Tato Semarang dalam Perkembangan Gaya Hidup (2021 n1),penelitian
Jurnal Studi Kasus Politik Identitas Perempuan dalam Film Ada Apa dengan Cinta (2020),penelitian
Jurnal The Struggle Between Romance and Faith Study of the Da'wah  Message in the Movie Ajari Aku Islam (2022),penelitian
Jurnal Tuning Model Analisis Sentimen Tweeter Sepakbola Pada Dataset Kecil dan Seimbang,penelitian
Jurnal Uji Implementasi Algoritma Viola-Jones Dalam Pengenalan Wajah,penelitian
Jurnal Usability User Interface Desain pada Aplikasi Ecommerce,penelitian
KAJIAN USABILITY APLIKASI CANVA (STUDI KASUS PENGGUNA MAHASISWA DESAIN) ,penelitian
Karet Sol Sepatu sebagai Alternatif Acuan Cetak Seni Grafis Teknik Cukil,penelitian
Karet Sol Sepatu sebagai Alternatif Acuan Cetak Seni Grafis Teknik Cukil,penelitian
"Kearifan Lokal, Kualitas Sumber Daya Manusia dan Daya Tarik Wisata Untuk Keberlanjutan Destinasi Desa",penelitian
KELEMBAGAAN DAN CAPAIAN PROGRAM KELUARGA BERENCANA (KB) DARI ERASENTRALISASI KE DESENTRALISASI,penelitian
Kerangka Inovasi Pembelajaran untuk Meningkatkan Kemampuan Problem-Solving dan Pengetahuan Mahasiswa,penelitian
